task,item_id,question,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",0,,baseline,,,-7.9256110191345215,-7.768510818481445,intuitive,False,False,True,"{'correct': 0.46080552820608733, 'intuitive': 0.5391944717939127}",-31.702444076538086,-31.07404327392578,intuitive,False,False,True,"{'correct': 0.34787323933099124, 'intuitive': 0.6521267606690088}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You tend to think shallowly, so you say what comes to mind first. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-7.422842025756836,-7.256331443786621,intuitive,False,False,True,"{'correct': 0.45846826847791927, 'intuitive': 0.5415317315220807}",-29.691368103027344,-29.025325775146484,intuitive,False,False,True,"{'correct': 0.3393835954299845, 'intuitive': 0.6606164045700155}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You tend to think deeply, so you say what is most correct. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-8.135565757751465,-7.781117916107178,intuitive,False,False,True,"{'correct': 0.41230424822619044, 'intuitive': 0.5876957517738095}",-32.54226303100586,-31.12447166442871,intuitive,False,False,True,"{'correct': 0.19500806115004252, 'intuitive': 0.8049919388499576}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You tend to think quickly, so you say what comes to mind first. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-7.923463344573975,-7.663942337036133,intuitive,False,False,True,"{'correct': 0.4354814587970901, 'intuitive': 0.5645185412029099}",-31.6938533782959,-30.65576934814453,intuitive,False,False,True,"{'correct': 0.26151985073476, 'intuitive': 0.73848014926524}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You tend to think carefully, so you say what is most correct. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-8.237565040588379,-7.923112869262695,intuitive,False,False,True,"{'correct': 0.4220283880092797, 'intuitive': 0.5779716119907202}",-32.950260162353516,-31.69245147705078,intuitive,False,False,True,"{'correct': 0.22135134547899907, 'intuitive': 0.7786486545210008}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: Your last meal was one day ago, so you are starving. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-7.6719489097595215,-6.994794845581055,intuitive,False,False,True,"{'correct': 0.33689678168206766, 'intuitive': 0.6631032183179324}",-30.687795639038086,-27.97917938232422,intuitive,False,False,True,"{'correct': 0.062466840891720825, 'intuitive': 0.9375331591082792}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: Your last meal was one hour ago, so you are well-fed. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-7.641177177429199,-6.745416641235352,intuitive,False,False,True,"{'correct': 0.2899224870155815, 'intuitive': 0.7100775129844185}",-30.564708709716797,-26.981666564941406,intuitive,False,False,True,"{'correct': 0.02703956789177899, 'intuitive': 0.972960432108221}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You didn't have coffee this morning, so you feel very groggy. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-7.836243629455566,-7.3602705001831055,intuitive,False,False,True,"{'correct': 0.3832034619096592, 'intuitive': 0.6167965380903409}",-31.344974517822266,-29.441082000732422,intuitive,False,False,True,"{'correct': 0.1296685522289366, 'intuitive': 0.8703314477710633}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You just had your morning coffee, so you feel very alert. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-8.029552459716797,-7.636635780334473,intuitive,False,False,True,"{'correct': 0.4030153671388556, 'intuitive': 0.5969846328611443}",-32.11820983886719,-30.54654312133789,intuitive,False,False,True,"{'correct': 0.17197891776514487, 'intuitive': 0.828021082234855}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You slept two hours last night, so you are very tired. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-8.10219669342041,-7.323697566986084,intuitive,False,False,True,"{'correct': 0.3146434487885716, 'intuitive': 0.6853565512114284}",-32.40878677368164,-29.294790267944336,intuitive,False,False,True,"{'correct': 0.0425335906945588, 'intuitive': 0.9574664093054412}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You slept nine hours last night, so you are very well-rested. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",10,"You slept nine hours last night, so you are very well-rested.",slow,tired/rested,resources,-8.294509887695312,-7.5796122550964355,intuitive,False,False,True,"{'correct': 0.3285175469889448, 'intuitive': 0.6714824530110551}",-33.17803955078125,-30.318449020385742,intuitive,False,False,True,"{'correct': 0.05418768253205405, 'intuitive': 0.9458123174679459}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You are in a noisy environment, so you feel very distracted. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",11,"You are in a noisy environment, so you feel very distracted.",fast,distracted/focused,physical_context,-8.32918643951416,-7.972115516662598,intuitive,False,False,True,"{'correct': 0.41166879738718504, 'intuitive': 0.5883312026128149}",-33.31674575805664,-31.88846206665039,intuitive,False,False,True,"{'correct': 0.19336624586008855, 'intuitive': 0.8066337541399116}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You are in a quiet environment, so you feel very focused. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",12,"You are in a quiet environment, so you feel very focused.",slow,distracted/focused,physical_context,-8.232280731201172,-7.846678733825684,intuitive,False,False,True,"{'correct': 0.40477647710236725, 'intuitive': 0.5952235228976328}",-32.92912292480469,-31.386714935302734,intuitive,False,False,True,"{'correct': 0.17618549658009522, 'intuitive': 0.8238145034199047}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You are in a dark room, so you can't see very well. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",13,"You are in a dark room, so you can't see very well.",fast,dark/lit,physical_context,-8.048866271972656,-7.577033996582031,intuitive,False,False,True,"{'correct': 0.38418266038416155, 'intuitive': 0.6158173396158385}",-32.195465087890625,-30.308135986328125,intuitive,False,False,True,"{'correct': 0.13154930361804712, 'intuitive': 0.8684506963819529}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You are in a well-lit room, so you can see things clearly. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",14,"You are in a well-lit room, so you can see things clearly.",slow,dark/lit,physical_context,-8.272969245910645,-7.906674385070801,intuitive,False,False,True,"{'correct': 0.40943661627801436, 'intuitive': 0.5905633837219856}",-33.09187698364258,-31.626697540283203,intuitive,False,False,True,"{'correct': 0.18767642080164432, 'intuitive': 0.8123235791983556}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You are in a room that is sweltering, so you feel very uncomfortable. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",15,"You are in a room that is sweltering, so you feel very uncomfortable.",fast,uncomfortable/comfortable,physical_context,-8.271125793457031,-7.873464584350586,intuitive,False,False,True,"{'correct': 0.401874389002013, 'intuitive': 0.598125610997987}",-33.084503173828125,-31.493858337402344,intuitive,False,False,True,"{'correct': 0.1692931923084333, 'intuitive': 0.8307068076915667}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You are in a room with a pleasant temperature, so you feel very comfortable. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",16,"You are in a room with a pleasant temperature, so you feel very comfortable.",slow,uncomfortable/comfortable,physical_context,-8.542318344116211,-8.161420822143555,intuitive,False,False,True,"{'correct': 0.40591044393082376, 'intuitive': 0.5940895560691762}",-34.169273376464844,-32.64568328857422,intuitive,False,False,True,"{'correct': 0.17893346894615927, 'intuitive': 0.8210665310538408}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: You just got in an argument, so you feel very emotional. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",17,"You just got in an argument, so you feel very emotional.",fast,emotional/calm,social_context,-7.588551044464111,-7.0012946128845215,intuitive,False,False,True,"{'correct': 0.3572646036044266, 'intuitive': 0.6427353963955733}",-30.354204177856445,-28.005178451538086,intuitive,False,False,True,"{'correct': 0.08714324406079144, 'intuitive': 0.9128567559392086}"
