task,item_id,question,t,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_t,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_t,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",0,,baseline,,,-4.825568675994873,-7.376941204071045,-7.779270172119141,correct,False,True,False,"{'correct': 0.8848610806294301, 'intuitive': 0.06899666247986164, 't': 0.04614225689070815}",-14.476705551147461,-22.130823135375977,-23.337810516357422,correct,False,True,False,"{'correct': 0.9993844927798459, 'intuitive': 0.0004737962026449495, 't': 0.00014171101750909306}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think shallowly, so you say what comes to mind first. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-4.416576385498047,-6.627896785736084,-7.4997687339782715,correct,False,True,False,"{'correct': 0.8655245963712441, 'intuitive': 0.09482332209441095, 't': 0.039652081534344866}",-13.24972915649414,-19.883689880371094,-22.499305725097656,correct,False,True,False,"{'correct': 0.9985908914056905, 'intuitive': 0.001313091726052858, 't': 9.60168682566572e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think deeply, so you say what is most correct. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-4.908593654632568,-7.533830642700195,-7.910900115966797,correct,False,True,False,"{'correct': 0.8911901712789398, 'intuitive': 0.06454230191075037, 't': 0.044267526810309765}",-14.725780487060547,-22.601491928100586,-23.73270034790039,correct,False,True,False,"{'correct': 0.9994978349084481, 'intuitive': 0.00037966786297031064, 't': 0.00012249722858167068}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think quickly, so you say what comes to mind first. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-4.613818645477295,-7.2639617919921875,-7.748913288116455,correct,False,True,False,"{'correct': 0.8975558981493661, 'intuitive': 0.06340433623439734, 't': 0.03903976561623646}",-13.841455459594727,-21.791885375976562,-23.246740341186523,correct,False,True,False,"{'correct': 0.9995653903538256, 'intuitive': 0.00035235737747339263, 't': 8.225226870101635e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think carefully, so you say what is most correct. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-4.884599685668945,-7.43046760559082,-7.911723613739014,correct,False,True,False,"{'correct': 0.887421865692723, 'intuitive': 0.06957828759967238, 't': 0.042999846707604844}",-14.653799057006836,-22.29140281677246,-23.735170364379883,correct,False,True,False,"{'correct': 0.9994046071967019, 'intuitive': 0.00048169504547243005, 't': 0.00011369775782567623}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your last meal was one day ago, so you are starving. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-4.796456813812256,-7.113950729370117,-7.8688063621521,correct,False,True,False,"{'correct': 0.8734903102763538, 'intuitive': 0.08605641942407567, 't': 0.04045327029957058}",-14.38936996459961,-21.34185218811035,-23.60641860961914,correct,False,True,False,"{'correct': 0.9989455231196865, 'intuitive': 0.0009552502052778235, 't': 9.922667503567086e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your last meal was one hour ago, so you are well-fed. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-4.88018274307251,-7.287288188934326,-8.037371635437012,correct,False,True,False,"{'correct': 0.8829080161359061, 'intuitive': 0.07952851028664751, 't': 0.03756347357744639}",-14.640548706054688,-21.86186408996582,-24.11211585998535,correct,False,True,False,"{'correct': 0.999192801020633, 'intuitive': 0.0007302505169042906, 't': 7.694846246270096e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You didn't have coffee this morning, so you feel very groggy. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-4.963354110717773,-7.598469257354736,-8.147466659545898,correct,False,True,False,"{'correct': 0.898371140410386, 'intuitive': 0.06442283383689391, 't': 0.03720602575272011}",-14.89006233215332,-22.795408248901367,-24.442399978637695,correct,False,True,False,"{'correct': 0.9995603914619482, 'intuitive': 0.00036860475157445244, 't': 7.100378647731437e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You just had your morning coffee, so you feel very alert. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-4.946181297302246,-7.611030578613281,-8.017861366271973,correct,False,True,False,"{'correct': 0.896095027148502, 'intuitive': 0.06237703527044375, 't': 0.04152793758105439}",-14.838543891906738,-22.833091735839844,-24.0535831451416,correct,False,True,False,"{'correct': 0.9995633629035545, 'intuitive': 0.00033714934134453745, 't': 9.948775510092788e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You slept two hours last night, so you are very tired. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-4.905843257904053,-7.4052510261535645,-8.116656303405762,correct,False,True,False,"{'correct': 0.8909023748136491, 'intuitive': 0.07317304278005393, 't': 0.035924582406297076}",-14.717529296875,-22.21575355529785,-24.34996795654297,correct,False,True,False,"{'correct': 0.9993807493721697, 'intuitive': 0.0005537242710134283, 't': 6.5526356816905e-05}"
