task,item_id,question,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",0,,baseline,,,-8.142728805541992,-9.468242645263672,correct,False,True,False,"{'correct': 0.790097603045747, 'intuitive': 0.2099023969542528}",-32.57091522216797,-37.87297058105469,correct,False,True,False,"{'correct': 0.9950433458775747, 'intuitive': 0.004956654122425409}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You tend to think shallowly, so you say what comes to mind first. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-7.9127960205078125,-9.806381225585938,correct,False,True,False,"{'correct': 0.8691637731849787, 'intuitive': 0.13083622681502124}",-31.65118408203125,-39.22552490234375,correct,False,True,False,"{'correct': 0.9994868047327532, 'intuitive': 0.0005131952672469204}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You tend to think deeply, so you say what is most correct. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-8.238112449645996,-9.747464179992676,correct,False,True,False,"{'correct': 0.8189651134476854, 'intuitive': 0.1810348865523145}",-32.952449798583984,-38.9898567199707,correct,False,True,False,"{'correct': 0.9976179452364928, 'intuitive': 0.0023820547635071613}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You tend to think quickly, so you say what comes to mind first. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-7.964836597442627,-10.049217224121094,correct,False,True,False,"{'correct': 0.8893757635960307, 'intuitive': 0.11062423640396939}",-31.859346389770508,-40.196868896484375,correct,False,True,False,"{'correct': 0.9997606926485082, 'intuitive': 0.0002393073514917208}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You tend to think carefully, so you say what is most correct. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-8.122949600219727,-9.81568717956543,correct,False,True,False,"{'correct': 0.8445838390256992, 'intuitive': 0.15541616097430078}",-32.491798400878906,-39.26274871826172,correct,False,True,False,"{'correct': 0.9988547087013473, 'intuitive': 0.001145291298652807}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
Your last meal was one day ago, so you are starving. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-8.452289581298828,-9.104619979858398,correct,False,True,False,"{'correct': 0.6575354203450403, 'intuitive': 0.3424645796549597}",-33.80915832519531,-36.418479919433594,correct,False,True,False,"{'correct': 0.9314590974600067, 'intuitive': 0.06854090253999334}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
Your last meal was one hour ago, so you are well-fed. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-8.574424743652344,-9.052839279174805,correct,False,True,False,"{'correct': 0.6173734205938657, 'intuitive': 0.3826265794061343}",-34.297698974609375,-36.21135711669922,correct,False,True,False,"{'correct': 0.8714295635750552, 'intuitive': 0.12857043642494473}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You didn't have coffee this morning, so you feel very groggy. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-8.890050888061523,-9.602331161499023,correct,False,True,False,"{'correct': 0.6709048209611187, 'intuitive': 0.32909517903888125}",-35.560203552246094,-38.409324645996094,correct,False,True,False,"{'correct': 0.9452732332173813, 'intuitive': 0.054726766782618716}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You just had your morning coffee, so you feel very alert. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-8.447477340698242,-9.745038986206055,correct,False,True,False,"{'correct': 0.7854243259634317, 'intuitive': 0.21457567403656827}",-33.78990936279297,-38.98015594482422,correct,False,True,False,"{'correct': 0.9944602270148124, 'intuitive': 0.005539772985187652}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You slept two hours last night, so you are very tired. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-8.207237243652344,-9.72357177734375,correct,False,True,False,"{'correct': 0.8199980877341938, 'intuitive': 0.18000191226580617}",-32.828948974609375,-38.894287109375,correct,False,True,False,"{'correct': 0.9976834063253026, 'intuitive': 0.002316593674697471}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You slept nine hours last night, so you are very well-rested. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",10,"You slept nine hours last night, so you are very well-rested.",slow,tired/rested,resources,-8.48974323272705,-9.963302612304688,correct,False,True,False,"{'correct': 0.8135977914519397, 'intuitive': 0.1864022085480603}",-33.9589729309082,-39.85321044921875,correct,False,True,False,"{'correct': 0.9972522942985093, 'intuitive': 0.0027477057014906607}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You are in a noisy environment, so you feel very distracted. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",11,"You are in a noisy environment, so you feel very distracted.",fast,distracted/focused,physical_context,-9.130338668823242,-9.871339797973633,correct,False,True,False,"{'correct': 0.6772147368165179, 'intuitive': 0.32278526318348216}",-36.52135467529297,-39.48535919189453,correct,False,True,False,"{'correct': 0.9509212227424391, 'intuitive': 0.04907877725756094}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You are in a quiet environment, so you feel very focused. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",12,"You are in a quiet environment, so you feel very focused.",slow,distracted/focused,physical_context,-8.070941925048828,-9.651180267333984,correct,False,True,False,"{'correct': 0.8292382704087732, 'intuitive': 0.1707617295912268}",-32.28376770019531,-38.60472106933594,correct,False,True,False,"{'correct': 0.9982049995073355, 'intuitive': 0.0017950004926643396}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You are in a dark room, so you can't see very well. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",13,"You are in a dark room, so you can't see very well.",fast,dark/lit,physical_context,-8.592280387878418,-10.056639671325684,correct,False,True,False,"{'correct': 0.8121985105239885, 'intuitive': 0.1878014894760115}",-34.36912155151367,-40.226558685302734,correct,False,True,False,"{'correct': 0.9971495876651886, 'intuitive': 0.00285041233481136}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You are in a well-lit room, so you can see things clearly. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",14,"You are in a well-lit room, so you can see things clearly.",slow,dark/lit,physical_context,-8.513792991638184,-9.738935470581055,correct,False,True,False,"{'correct': 0.7729672638382638, 'intuitive': 0.22703273616173636}",-34.055171966552734,-38.95574188232422,correct,False,True,False,"{'correct': 0.9926126389007266, 'intuitive': 0.0073873610992734465}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You are in a room that is sweltering, so you feel very uncomfortable. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",15,"You are in a room that is sweltering, so you feel very uncomfortable.",fast,uncomfortable/comfortable,physical_context,-9.211749076843262,-9.987014770507812,correct,False,True,False,"{'correct': 0.6846588666928655, 'intuitive': 0.3153411333071345}",-36.84699630737305,-39.94805908203125,correct,False,True,False,"{'correct': 0.9569365621909418, 'intuitive': 0.04306343780905815}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You are in a room with a pleasant temperature, so you feel very comfortable. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",16,"You are in a room with a pleasant temperature, so you feel very comfortable.",slow,uncomfortable/comfortable,physical_context,-9.440824508666992,-9.936491012573242,correct,False,True,False,"{'correct': 0.6214404044065142, 'intuitive': 0.37855959559348573}",-37.76329803466797,-39.74596405029297,correct,False,True,False,"{'correct': 0.878965074116239, 'intuitive': 0.12103492588376101}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<|user|>
You just got in an argument, so you feel very emotional. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?</s>
<|assistant|>
",17,"You just got in an argument, so you feel very emotional.",fast,emotional/calm,social_context,-8.21234130859375,-9.672463417053223,correct,False,True,False,"{'correct': 0.8115513502462119, 'intuitive': 0.18844864975378817}",-32.849365234375,-38.68985366821289,correct,False,True,False,"{'correct': 0.9971010064027631, 'intuitive': 0.002898993597236964}"
