task,item_id,question,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",0,,baseline,,,-5.7284698486328125,-9.502182960510254,correct,False,True,False,"{'correct': 0.9775489967084643, 'intuitive': 0.02245100329153569}",-17.185409545898438,-28.506549835205078,correct,False,True,False,"{'correct': 0.9999878860442636, 'intuitive': 1.2113955736370027e-05}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think shallowly, so you say what comes to mind first. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-4.496339797973633,-7.567853927612305,correct,False,True,False,"{'correct': 0.9557023179385212, 'intuitive': 0.04429768206147877}",-13.489019393920898,-22.703561782836914,correct,False,True,False,"{'correct': 0.9999004292354065, 'intuitive': 9.95707645936148e-05}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think deeply, so you say what is most correct. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-5.767551422119141,-9.065138816833496,correct,False,True,False,"{'correct': 0.9643459513781765, 'intuitive': 0.03565404862182342}",-17.302654266357422,-27.195415496826172,correct,False,True,False,"{'correct': 0.9999494633513171, 'intuitive': 5.053664868291611e-05}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think quickly, so you say what comes to mind first. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-4.9042792320251465,-7.852945804595947,correct,False,True,False,"{'correct': 0.9502004290884808, 'intuitive': 0.049799570911519264}",-14.712838172912598,-23.558837890625,correct,False,True,False,"{'correct': 0.9998560642680341, 'intuitive': 0.00014393573196598607}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think carefully, so you say what is most correct. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-5.47484827041626,-8.817763328552246,correct,False,True,False,"{'correct': 0.9658720626172554, 'intuitive': 0.034127937382744666}",-16.424545288085938,-26.453289031982422,correct,False,True,False,"{'correct': 0.9999558884037457, 'intuitive': 4.4111596254290596e-05}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your last meal was one day ago, so you are starving. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-4.756985664367676,-6.729658603668213,correct,False,True,False,"{'correct': 0.8778979235213091, 'intuitive': 0.12210207647869079}",-14.270956993103027,-20.188976287841797,correct,False,True,False,"{'correct': 0.9973166954575415, 'intuitive': 0.0026833045424585443}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your last meal was one hour ago, so you are well-fed. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-4.99264669418335,-7.327464580535889,correct,False,True,False,"{'correct': 0.9117198826785875, 'intuitive': 0.08828011732141246}",-14.97793960571289,-21.982393264770508,correct,False,True,False,"{'correct': 0.9990929936230099, 'intuitive': 0.0009070063769900871}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You didn't have coffee this morning, so you feel very groggy. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-5.832791805267334,-8.771628379821777,correct,False,True,False,"{'correct': 0.9497332138890473, 'intuitive': 0.050266786110952595}",-17.498374938964844,-26.314884185791016,correct,False,True,False,"{'correct': 0.9998517569647346, 'intuitive': 0.0001482430352653303}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You just had your morning coffee, so you feel very alert. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-5.2887396812438965,-8.137669563293457,correct,False,True,False,"{'correct': 0.945263340659685, 'intuitive': 0.05473665934031504}",-15.866218566894531,-24.413009643554688,correct,False,True,False,"{'correct': 0.9998058705250731, 'intuitive': 0.0001941294749268823}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You slept two hours last night, so you are very tired. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-5.209245681762695,-8.599803924560547,correct,False,True,False,"{'correct': 0.9674081504703758, 'intuitive': 0.03259184952962427}",-15.627737045288086,-25.79941177368164,correct,False,True,False,"{'correct': 0.9999617632309948, 'intuitive': 3.8236769005162024e-05}"
