task,item_id,question,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",0,,baseline,,,-7.9256110191345215,-7.768510818481445,intuitive,False,False,True,"{'correct': 0.46080552820608733, 'intuitive': 0.5391944717939127}",-31.702444076538086,-31.07404327392578,intuitive,False,False,True,"{'correct': 0.34787323933099124, 'intuitive': 0.6521267606690088}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct System: You tend to think shallowly, so you say what comes to mind first.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-6.419219017028809,-6.226592063903809,intuitive,False,False,True,"{'correct': 0.45199161649252206, 'intuitive': 0.548008383507478}",-32.09609603881836,-31.132959365844727,intuitive,False,False,True,"{'correct': 0.27625062041796156, 'intuitive': 0.7237493795820384}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct System: You tend to think deeply, so you say what is most correct.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-7.249249458312988,-6.9909491539001465,intuitive,False,False,True,"{'correct': 0.4357815768274722, 'intuitive': 0.5642184231725279}",-36.246246337890625,-34.95474624633789,intuitive,False,False,True,"{'correct': 0.21559901299204617, 'intuitive': 0.7844009870079538}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct System: You tend to think quickly, so you say what comes to mind first.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-7.077754020690918,-6.874077796936035,intuitive,False,False,True,"{'correct': 0.4492562440763971, 'intuitive': 0.5507437559236029}",-35.388771057128906,-34.37038803100586,intuitive,False,False,True,"{'correct': 0.265342487089715, 'intuitive': 0.734657512910285}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct System: You tend to think carefully, so you say what is most correct.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-7.338181495666504,-7.11663293838501,intuitive,False,False,True,"{'correct': 0.4448383049483224, 'intuitive': 0.5551616950516776}",-36.6909065246582,-35.58316421508789,intuitive,False,False,True,"{'correct': 0.24829203139239409, 'intuitive': 0.7517079686076059}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct System: Your last meal was one day ago, so you are starving.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-7.441458702087402,-7.03045654296875,intuitive,False,False,True,"{'correct': 0.3986718465561321, 'intuitive': 0.6013281534438679}",-37.20729446411133,-35.15228271484375,intuitive,False,False,True,"{'correct': 0.1135469506023521, 'intuitive': 0.8864530493976478}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct System: Your last meal was one hour ago, so you are well-fed.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-7.208399772644043,-6.726258754730225,intuitive,False,False,True,"{'correct': 0.38174668264324274, 'intuitive': 0.6182533173567573}",-36.04199981689453,-33.63129425048828,intuitive,False,False,True,"{'correct': 0.0823599779526009, 'intuitive': 0.9176400220473991}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct System: You didn't have coffee this morning, so you feel very groggy.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-7.5501837730407715,-7.322956085205078,intuitive,False,False,True,"{'correct': 0.4434362458318275, 'intuitive': 0.5565637541681725}",-37.750919342041016,-36.61478042602539,intuitive,False,False,True,"{'correct': 0.24302996578355934, 'intuitive': 0.7569700342164406}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct System: You just had your morning coffee, so you feel very alert.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-7.915011405944824,-7.678742408752441,intuitive,False,False,True,"{'correct': 0.44120600154755046, 'intuitive': 0.5587939984524495}",-39.57505798339844,-38.39371109008789,intuitive,False,False,True,"{'correct': 0.23481010766199892, 'intuitive': 0.7651898923380012}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>GPT4 Correct System: You slept two hours last night, so you are very tired.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?<|end_of_turn|>GPT4 Correct Assistant:",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-7.852784633636475,-7.426991939544678,intuitive,False,False,True,"{'correct': 0.3951314436076292, 'intuitive': 0.6048685563923708}",-39.26392364501953,-37.13496017456055,intuitive,False,False,True,"{'correct': 0.10631343308672266, 'intuitive': 0.8936865669132773}"
