task,item_id,question,total_cost,more,correct,intuitive,total_cost_money_fmt,more_money_fmt,correct_money_fmt,intuitive_money_fmt,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_total_cost,mean_logp_more,mean_logp_correct_money_fmt,mean_logp_intuitive_money_fmt,mean_logp_total_cost_money_fmt,mean_logp_more_money_fmt,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_total_cost,sum_logp_more,sum_logp_correct_money_fmt,sum_logp_intuitive_money_fmt,sum_logp_total_cost_money_fmt,sum_logp_more_money_fmt,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,<s>[INST] Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST],0,,baseline,,,-8.183517456054688,-6.595839500427246,-6.644232273101807,-4.851649284362793,-6.8195977210998535,-5.496532917022705,-7.100857257843018,-6.631592750549316,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.14888521273884273, 'intuitive_money_fmt': 0.5590508465296256, 'total_cost_money_fmt': 0.11238338294926699, 'more_money_fmt': 0.17968055778226474}",-40.91758728027344,-32.97919845581055,-39.865394592285156,-19.406597137451172,-40.91758728027344,-32.97919845581055,-49.70600128173828,-46.42115020751953,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.0003566530674862917, 'intuitive_money_fmt': 0.9996418401709901, 'total_cost_money_fmt': 5.4385892274240264e-08, 'more_money_fmt': 1.4523756314213894e-06}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You tend to think shallowly, so you say what comes to mind first.

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-6.925396919250488,-5.337298393249512,-5.7553887367248535,-4.085760116577148,-5.7711639404296875,-4.44774866104126,-6.385495185852051,-5.666957378387451,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.15607781894664657, 'intuitive_money_fmt': 0.586263883678296, 'total_cost_money_fmt': 0.08443850153004695, 'more_money_fmt': 0.17321979584501043}",-34.626983642578125,-26.686492919921875,-34.53233337402344,-16.343040466308594,-34.626983642578125,-26.686492919921875,-44.69846725463867,-39.668701171875,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.00035590418516206606, 'intuitive_money_fmt': 0.9996417806912599, 'total_cost_money_fmt': 1.5043307663023284e-08, 'more_money_fmt': 2.3000802704610112e-06}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You tend to think deeply, so you say what is most correct.

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-7.988936424255371,-6.410044193267822,-6.432100772857666,-4.975907325744629,-6.657447338104248,-5.341703414916992,-7.4532318115234375,-6.617123126983643,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.16077433197449384, 'intuitive_money_fmt': 0.5992900113715152, 'total_cost_money_fmt': 0.07254573884498808, 'more_money_fmt': 0.16738991780900284}",-39.94468307495117,-32.05022048950195,-38.59260559082031,-19.903629302978516,-39.94468307495117,-32.05022048950195,-52.17262268066406,-46.319862365722656,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.0003726630287721966, 'intuitive_money_fmt': 0.9996267003859197, 'total_cost_money_fmt': 1.8230123614039404e-09, 'more_money_fmt': 6.347622957554591e-07}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You tend to think quickly, so you say what comes to mind first.

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-6.760536193847656,-5.088185787200928,-5.964040756225586,-4.154138088226318,-5.633780002593994,-4.24015474319458,-6.439080715179443,-5.751125812530518,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.15709284086358904, 'intuitive_money_fmt': 0.6329948163268176, 'total_cost_money_fmt': 0.07021319533258014, 'more_money_fmt': 0.13969914747701337}",-33.80268096923828,-25.440929412841797,-35.784244537353516,-16.616552352905273,-33.80268096923828,-25.440929412841797,-45.07356643676758,-40.25788116455078,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.00023358009180064336, 'intuitive_money_fmt': 0.9997660496690549, 'total_cost_money_fmt': 2.9754486528830488e-09, 'more_money_fmt': 3.6726369591933423e-07}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You tend to think carefully, so you say what is most correct.

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-7.7235918045043945,-6.15384578704834,-6.157346248626709,-4.614940643310547,-6.436326503753662,-5.128204822540283,-7.159603595733643,-6.2614336013793945,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.15685051078422052, 'intuitive_money_fmt': 0.5802243693013396, 'total_cost_money_fmt': 0.07609755222942699, 'more_money_fmt': 0.186827567685013}",-38.617958068847656,-30.769229888916016,-36.94407653808594,-18.459762573242188,-38.617958068847656,-30.769229888916016,-50.117225646972656,-43.83003616333008,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.00039009491295905716, 'intuitive_money_fmt': 0.9996077749842567, 'total_cost_money_fmt': 3.954593350856167e-09, 'more_money_fmt': 2.12614819092421e-06}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] Your last meal was one day ago, so you are starving.

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-7.432598114013672,-5.855981349945068,-5.96142053604126,-4.108656883239746,-6.193831920623779,-4.879984378814697,-7.148066997528076,-6.228328227996826,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.16469962191477835, 'intuitive_money_fmt': 0.6127584933758393, 'total_cost_money_fmt': 0.06342691287559243, 'more_money_fmt': 0.15911497183379}",-37.16299057006836,-29.2799072265625,-35.768524169921875,-16.434627532958984,-37.16299057006836,-29.2799072265625,-50.036468505859375,-43.598297119140625,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.00037692627503012414, 'intuitive_money_fmt': 0.9996224681996416, 'total_cost_money_fmt': 9.668875812729498e-10, 'more_money_fmt': 6.045584405832563e-07}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] Your last meal was one hour ago, so you are well-fed.

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-7.390516757965088,-5.791181564331055,-5.923088073730469,-4.201756954193115,-6.158763885498047,-4.825984477996826,-7.0950775146484375,-6.034171104431152,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.15831991751318628, 'intuitive_money_fmt': 0.6002805851258455, 'total_cost_money_fmt': 0.062072567932777455, 'more_money_fmt': 0.17932692942819065}",-36.95258331298828,-28.955907821655273,-35.53852844238281,-16.80702781677246,-36.95258331298828,-28.955907821655273,-49.66554260253906,-42.23919677734375,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.0003364659113474183, 'intuitive_money_fmt': 0.9996618309402191, 'total_cost_money_fmt': 1.0133815722497311e-09, 'more_money_fmt': 1.7021350520333177e-06}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You didn't have coffee this morning, so you feel very groggy.

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-7.721075534820557,-5.865765571594238,-6.051820278167725,-4.465433597564697,-6.434229373931885,-4.888138294219971,-6.961630344390869,-6.175522804260254,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.13195258478265165, 'intuitive_money_fmt': 0.6192652728791401, 'total_cost_money_fmt': 0.0778700710031802, 'more_money_fmt': 0.1709120713350281}",-38.605377197265625,-29.328828811645508,-36.31092071533203,-17.86173439025879,-38.605377197265625,-29.328828811645508,-48.73141098022461,-43.228660583496094,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 9.358477035037456e-05, 'intuitive_money_fmt': 0.9999054924349181, 'total_cost_money_fmt': 3.745627487492089e-09, 'more_money_fmt': 9.190491041333338e-07}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You just had your morning coffee, so you feel very alert.

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-7.853549957275391,-6.158449649810791,-6.181119441986084,-4.487514972686768,-6.5446248054504395,-5.1320414543151855,-7.144863605499268,-6.566348552703857,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.15074449349957775, 'intuitive_money_fmt': 0.6190398562324463, 'total_cost_money_fmt': 0.08271057846100123, 'more_money_fmt': 0.1475050718069747}",-39.26774978637695,-30.792247772216797,-37.08671569824219,-17.95005989074707,-39.26774978637695,-30.792247772216797,-50.01404571533203,-45.964439392089844,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.00020847096795065026, 'intuitive_money_fmt': 0.9997912670844319, 'total_cost_money_fmt': 4.487335694602185e-09, 'more_money_fmt': 2.57460281697068e-07}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You slept two hours last night, so you are very tired.

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?[/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-7.504632472991943,-5.930936336517334,-5.778604507446289,-4.119753360748291,-6.2538604736328125,-4.942447185516357,-6.7662577629089355,-5.960903644561768,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.1503565411107374, 'intuitive_money_fmt': 0.5580355681174359, 'total_cost_money_fmt': 0.09007224991433421, 'more_money_fmt': 0.20153564085749265}",-37.523162841796875,-29.654682159423828,-34.671627044677734,-16.479013442993164,-37.523162841796875,-29.654682159423828,-47.36380386352539,-41.72632598876953,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.0003824667020292177, 'intuitive_money_fmt': 0.9996117957383821, 'total_cost_money_fmt': 2.0363739692161674e-08, 'more_money_fmt': 5.7171958489332485e-06}"
