task,item_id,question,t,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_t,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_t,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",0,,baseline,,,-7.185100555419922,-7.440479278564453,-7.675790309906006,correct,False,True,False,"{'correct': 0.4189662585018079, 'intuitive': 0.3245409313624339, 't': 0.2564928101357582}",-21.555301666259766,-22.32143783569336,-23.02737045288086,correct,False,True,False,"{'correct': 0.5902296303469167, 'intuitive': 0.27434199793592684, 't': 0.1354283717171565}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think shallowly, so you say what comes to mind first. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-6.823148250579834,-6.868566989898682,-6.951117038726807,correct,False,True,False,"{'correct': 0.3526742112213759, 'intuitive': 0.33701450705935493, 't': 0.3103112817192693}",-20.469444274902344,-20.605701446533203,-20.853351593017578,correct,False,True,False,"{'correct': 0.39157138679899645, 'intuitive': 0.34169231519068155, 't': 0.266736298010322}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think deeply, so you say what is most correct. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-7.477558135986328,-7.758089542388916,-7.802366733551025,correct,False,True,False,"{'correct': 0.4035434536952987, 'intuitive': 0.30482954985085475, 't': 0.2916269964538466}",-22.432674407958984,-23.274269104003906,-23.407100677490234,correct,False,True,False,"{'correct': 0.552965389666657, 'intuitive': 0.23834059379105985, 't': 0.2086940165422832}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think quickly, so you say what comes to mind first. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-7.224706649780273,-7.276211261749268,-7.355374813079834,correct,False,True,False,"{'correct': 0.3536933133840321, 'intuitive': 0.3359376506817761, 't': 0.3103690359341918}",-21.67411994934082,-21.82863426208496,-22.066123962402344,correct,False,True,False,"{'correct': 0.39486164476196195, 'intuitive': 0.3383297881484642, 't': 0.26680856708957384}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think carefully, so you say what is most correct. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-7.5670905113220215,-7.830047130584717,-7.85893440246582,correct,False,True,False,"{'correct': 0.39750993908816357, 'intuitive': 0.3055958014583187, 't': 0.2968942594535177}",-22.701271057128906,-23.490140914916992,-23.57680320739746,correct,False,True,False,"{'correct': 0.5344740463710811, 'intuitive': 0.2428425557586758, 't': 0.2226833978702432}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your last meal was one day ago, so you are starving. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-6.0988311767578125,-6.499635696411133,-6.653953552246094,correct,False,True,False,"{'correct': 0.44567589837652694, 'intuitive': 0.2985052387555813, 't': 0.25581886286789174}",-18.296493530273438,-19.4989070892334,-19.96186065673828,correct,False,True,False,"{'correct': 0.6713259586900044, 'intuitive': 0.20171206112513554, 't': 0.1269619801848601}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your last meal was one hour ago, so you are well-fed. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-7.861013889312744,-8.163128852844238,-8.27293586730957,correct,False,True,False,"{'correct': 0.4163840413498323, 'intuitive': 0.3078131820578161, 't': 0.2758027765923516}",-23.58304214477539,-24.48938751220703,-24.81880760192871,correct,False,True,False,"{'correct': 0.5901062016789206, 'intuitive': 0.2384017214744944, 't': 0.17149207684658502}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You didn't have coffee this morning, so you feel very groggy. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-6.421084880828857,-6.457855701446533,-6.556504726409912,correct,False,True,False,"{'correct': 0.35245443545085, 'intuitive': 0.33972977838151, 't': 0.3078157861676401}",-19.263254165649414,-19.373567581176758,-19.669513702392578,correct,False,True,False,"{'correct': 0.39036719466470304, 'intuitive': 0.34959467270986916, 't': 0.2600381326254277}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You just had your morning coffee, so you feel very alert. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-8.247891426086426,-8.317818641662598,-8.524651527404785,correct,False,True,False,"{'correct': 0.37165076764812716, 'intuitive': 0.3465501014499622, 't': 0.28179913090191067}",-24.74367332458496,-24.95345687866211,-25.573955535888672,correct,False,True,False,"{'correct': 0.4451000355982826, 'intuitive': 0.3608691769462293, 't': 0.1940307874554881}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You slept two hours last night, so you are very tired. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-6.813161373138428,-7.046992778778076,-7.127815246582031,correct,False,True,False,"{'correct': 0.39658354954121716, 'intuitive': 0.3138939942156069, 't': 0.28952245624317596}",-20.439483642578125,-21.14097785949707,-21.383445739746094,correct,False,True,False,"{'correct': 0.5305245120022792, 'intuitive': 0.26305731745876404, 't': 0.20641817053895678}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You slept nine hours last night, so you are very well-rested. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",10,"You slept nine hours last night, so you are very well-rested.",slow,tired/rested,resources,-8.254471778869629,-8.49828052520752,-8.663971900939941,correct,False,True,False,"{'correct': 0.40856022397873437, 'intuitive': 0.32016310985115126, 't': 0.27127666617011426}",-24.76341438293457,-25.494842529296875,-25.991914749145508,correct,False,True,False,"{'correct': 0.5637129571058114, 'intuitive': 0.2712706508925234, 't': 0.16501639200166537}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You are in a noisy environment, so you feel very distracted. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",11,"You are in a noisy environment, so you feel very distracted.",fast,distracted/focused,physical_context,-6.000234127044678,-6.190067291259766,-6.2855072021484375,correct,False,True,False,"{'correct': 0.38776131636325833, 'intuitive': 0.3207162648430887, 't': 0.291522418793653}",-18.000701904296875,-18.570201873779297,-18.856521606445312,correct,False,True,False,"{'correct': 0.5023250068328204, 'intuitive': 0.28421965283311873, 't': 0.21345534033406072}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You are in a quiet environment, so you feel very focused. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",12,"You are in a quiet environment, so you feel very focused.",slow,distracted/focused,physical_context,-7.744722366333008,-8.07085132598877,-8.1257963180542,correct,False,True,False,"{'correct': 0.4158281701276396, 'intuitive': 0.3001082259292651, 't': 0.28406360394309527}",-23.234167098999023,-24.212553024291992,-24.37738800048828,correct,False,True,False,"{'correct': 0.5900721743706094, 'intuitive': 0.22181837881011526, 't': 0.18810944681927533}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You are in a dark room, so you can't see very well. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",13,"You are in a dark room, so you can't see very well.",fast,dark/lit,physical_context,-7.098862171173096,-7.298742294311523,-7.308116912841797,correct,False,True,False,"{'correct': 0.380225610965894, 'intuitive': 0.3113397209973197, 't': 0.3084346680367864}",-21.296586990356445,-21.89622688293457,-21.92435073852539,correct,False,True,False,"{'correct': 0.4801244223047949, 'intuitive': 0.26359277435923756, 't': 0.2562828033359675}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You are in a well-lit room, so you can see things clearly. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",14,"You are in a well-lit room, so you can see things clearly.",slow,dark/lit,physical_context,-7.490890026092529,-7.688459873199463,-7.893535614013672,correct,False,True,False,"{'correct': 0.40172390773110744, 'intuitive': 0.32970397580793415, 't': 0.2685721164609585}",-22.47266960144043,-23.065380096435547,-23.680606842041016,correct,False,True,False,"{'correct': 0.5400618293424401, 'intuitive': 0.2985606625447955, 't': 0.16137750811276447}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You are in a room that is sweltering, so you feel very uncomfortable. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",15,"You are in a room that is sweltering, so you feel very uncomfortable.",fast,uncomfortable/comfortable,physical_context,-7.440603256225586,-7.708837032318115,-7.918184280395508,correct,False,True,False,"{'correct': 0.41928527607054883, 'intuitive': 0.3206396035322392, 't': 0.2600751203972119}",-22.321809768676758,-23.126510620117188,-23.754552841186523,correct,False,True,False,"{'correct': 0.5931637619110116, 'intuitive': 0.265275701398345, 't': 0.1415605366906434}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You are in a room with a pleasant temperature, so you feel very comfortable. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",16,"You are in a room with a pleasant temperature, so you feel very comfortable.",slow,uncomfortable/comfortable,physical_context,-7.551676273345947,-7.811511516571045,-8.024928092956543,correct,False,True,False,"{'correct': 0.41768445808591914, 'intuitive': 0.32210932909532314, 't': 0.2602062128187577}",-22.655029296875,-23.434534072875977,-24.074785232543945,correct,False,True,False,"{'correct': 0.5880948089743934, 'intuitive': 0.26971973426818574, 't': 0.14218545675742078}"
